tweet_id,hashtags,mentions,uppercase,nonalpha,urls,len,numbers,topic_id,favorite_count,retweet_count,spam
844161832763953152,0,0,8,11,1,136,0,0,0,2,y
844160579099070466,0,1,14,10,1,140,1,0,0,0,y
844158398761500672,0,1,11,9,0,110,1,0,0,0,y
844157187865956359,0,1,6,9,0,144,0,0,0,0,n
844146056535465984,0,1,5,8,0,133,0,0,0,0,y
844145356296339456,3,1,3,9,0,142,1,0,0,0,y
844144510846324736,0,1,7,10,0,148,0,0,0,0,y
844143833571115008,0,1,7,8,1,75,0,0,0,4,y
843139889793306624,0,2,8,12,0,139,0,0,0,0,y
842849480131010563,0,2,16,14,0,106,0,0,0,0,n
