tweet_id,hashtags,mentions,uppercase,nonalpha,urls,len,numbers,cluster
11832,0,0,0.1875,0.214286,0.333333,0.625,0,y
12276,0,0,0.5,0.428571,0.666667,0.759615,0,n
12268,0.5,0,0.375,0.464286,0.666667,0.653846,0,n
13573,0,0,0.15625,0.25,0.333333,0.375,0,y
11131,0,0,0.375,0.464286,0.666667,0.721154,0,n
13681,0,0,0.1875,0.5,0.333333,0.788462,0,n
12659,0,0,0.21875,0.678571,0.666667,0.788462,0.25,n
13038,0.25,0,0.25,0.464286,0.333333,0.826923,0.5,n
13591,0,0,0.15625,0.321429,0.333333,0.673077,0,y
11214,0,0,0.3125,0.321429,0.666667,0.634615,0,n
13432,0,0.166667,0.34375,0.321429,0.333333,0.625,0,y
12026,0.25,0,0.25,0.535714,0.666667,0.788462,0.25,n
13262,0,0,0.0625,0.178571,0.333333,0.451923,0.25,y
13648,0,0,0.5625,0.142857,0.333333,0.673077,0.25,y
12651,0,0,0.34375,0.428571,0.666667,0.817308,0,n
13578,0,0,0.15625,0.428571,0.333333,0.307692,0,y
13847,0,0,0.125,0.321429,0.333333,0.442308,0,y
13370,0,0,0.09375,0.285714,0.333333,0.730769,0.25,y
12455,0,0,0.28125,0.535714,0.666667,0.730769,0,n
13771,0,0,0.21875,0.464286,0.666667,0.913462,0,n
11810,0,0.333333,0.125,0.5,0,0.971154,0,y
11883,0,0,0.15625,0.214286,0.333333,0.375,0,y
11271,0,0,0.25,0.321429,0.333333,0.826923,0.25,y
11713,0,0,0.21875,0.357143,0.333333,0.394231,0,y
13764,0,0,0.34375,0.392857,0.666667,0.644231,0,n
13579,0,0,0.3125,0.678571,0.333333,0.769231,0,n
13806,0,0,0.375,0.392857,0.666667,0.538462,0,n
11310,0,0,0.40625,0.5,0.666667,0.778846,0,n
13431,0.25,0,0.15625,0.178571,0.333333,0.586538,0,y
12803,0.25,0,0.375,0.5,0.666667,0.826923,0.5,n
12197,0.25,0,0.28125,0.535714,0.666667,0.759615,0,n
13730,0,0,0.34375,0.535714,0.666667,0.5,0,n
11734,0,0,0.125,0.642857,0.666667,0.644231,0,n
12294,0.25,0,0.375,0.642857,0.666667,0.836538,0,n
13119,0,0,0.125,0.214286,0.333333,0.625,0.75,y
12920,0,0,0.5,0.428571,0.666667,0.759615,0,n
12155,0.25,0,0.28125,0.535714,0.666667,0.788462,0,n
12499,0.5,0,0.28125,0.535714,0.666667,0.701923,0,n
13284,0.25,0,0.1875,0.392857,0.333333,0.461538,0,y
11891,0,0,0.09375,0.285714,0.333333,0.490385,0,y
12270,0.25,0,0.15625,0.535714,0.666667,0.836538,0,n
11295,0,0,0.28125,0.428571,0.333333,0.788462,0,n
11649,0,0,0.46875,0.821429,0.666667,0.759615,0,n
13892,0,0.166667,0.1875,0.178571,0.333333,0.394231,0,y
11051,0,0,0.15625,0.321429,0.666667,0.769231,0,n
11065,0,0,0.15625,0.25,0.333333,0.317308,0,y
11537,0,0,0.25,0.285714,0.333333,0.471154,0,y
11615,0,0,0.0625,0.25,0.333333,0.605769,0,y
12801,0,0,0.53125,0.428571,0.666667,0.769231,0.25,n
11299,0,0,0.28125,0.464286,0.666667,0.461538,0.25,n
11057,0,0.166667,0.0625,0.25,0.333333,0.875,0.25,y
13495,0,0,0.0625,0.321429,0.333333,0.480769,0.25,y
12802,0.5,0,0.40625,0.607143,0.666667,0.701923,0.5,n
11457,0,0,0.28125,0.5,0.666667,0.836538,0,n
11093,0.25,0.333333,0.09375,0.428571,0,0.961538,0.25,y
12264,0,0,0.21875,0.392857,0.666667,0.701923,0.5,n
12549,0.25,0.166667,0.5,0.821429,0.666667,0.673077,0,n
11980,0,0,0.4375,0.321429,0.666667,0.663462,0,n
12874,0.25,0,0.375,0.392857,0.666667,0.663462,0.25,n
13101,0,0.166667,0.40625,0.285714,0.333333,0.548077,0,y
11482,0,0,0.09375,0.142857,0.333333,0.346154,0,y
11581,0,0,0.125,0.25,0.333333,0.326923,0,y
11780,0,0,0.15625,0.214286,0.333333,0.355769,0,y
