tweet_id,text
56,Mueren ahogados 74 inmigrantes en el Mediterráneo https://t.co/zwqkxUWTJi
57,"Reestructuración y tareas de la unidad, por @lmesculpi https://t.co/cGMJQNgzWb"
58,Oswaldo Páez-Pumar: Lo inesperado https://t.co/DgWHASx8qV
59,"¡A lo romano! “Penes Voladores” que curan enfermedades, molestias o dolores https://t.co/OBrkq67fyz https://t.co/taDsXI9iM5"
60,Canadá registra fuerte aumento de solicitudes de asilo en frontera con EEUU https://t.co/ZZITF1wHp1
61,Desarrollan en EEUU vacuna efectiva contra diferentes cepas de malaria https://t.co/Vxq0NyQcum https://t.co/KuxCFtqbCB
62,NOS: TSJ y CNE castran la democracia al intentar erradicar a los partidos políticos https://t.co/GEoFWAcotK https://t.co/LGOS8cOUqc
63,.@Eudorogonzalez: Recibimos apoyo unánime de cuatro países para que parlamentarios sigamos en Parlasur… https://t.co/WYtJGzNAkb
64,Diez plantas medicinales que te alejarán de los fármacos https://t.co/YzAaV5nQm0 https://t.co/OJ9d3jBMGO
65,¡Pa’ lo que quedó! El ministro de comunicación ahora promociona telenovelas (Video) https://t.co/tVn4Npoy9C https://t.co/vw5B4Q3H92
66,Miranda ofrece múltiples opciones recreativas en estos Carnavales 2017 https://t.co/2Na5Vi0aZU https://t.co/nZBWVs5AHx
67,Capriles: El ticket de alimentación no es salario https://t.co/3ScAUdVLlt https://t.co/wzB34rhUsg
68,Resultado de elección presidencial en Ecuador tardará tres días en conocerse https://t.co/eb3EIhCnZT https://t.co/vFziMqr4xx
69,Santos dice que con FARC se harán sustituciones reales de cultivos ilícitos https://t.co/7EP6h1pFWL https://t.co/n0N2xN0E1O
70,Florido rechaza las descalificaciones de Maduro y lo acusa de ser cómplice de narcotráfico https://t.co/e9uRUFA1lk https://t.co/bLxjBj20dN
71,Voluntad Popular apoya petición de López para realizar consulta popular y convocar adelanto de elecciones… https://t.co/dxqY3I62lG
