hashtags,mentions,uppercase,nonalpha,urls,len,numbers,spam
0,0,0.32,0.25,1,0.6,0,y
0,0,0.36,0.166667,0.5,0.317647,0,n
0,0.166667,0.2,0.291667,0.5,0.482353,0,n
0,0,0.24,0.291667,0.5,0.376471,0.25,n
0,0,0.28,0.25,1,0.858824,0,n
0,0,0.12,0.5,0.5,0.870588,0.25,y
0,0,0.16,0.208333,0.5,0.552941,0,n
0,0,0.32,0.5,1,0.8,0,y
0.5,0,0.4,0.291667,1,0.670588,0,y
0,0,0.12,0.333333,0.5,0.470588,0,n
0.5,0,0.56,0.375,1,0.882353,0.25,n
0,0,0.24,0.041667,0.5,0.458824,0,n
0.5,0,0.8,0.458333,0.5,0.729412,0,n
0.5,0,0.48,0.458333,1,0.576471,0,y
0.5,0,0.48,0.375,1,0.905882,0,n
0,0,0.28,0.083333,0.5,0.129412,0.5,y
0,0.166667,0.84,0.5,1,0.776471,0,y
0.5,0,0.32,0.375,1,0.870588,0.25,n
0.5,0.166667,0.64,0.833333,1,0.717647,0,n
1,0,0.36,0.5,1,0.682353,0,n
0.5,0.166667,0.48,0.083333,0,0.717647,0,n
0,0,0.32,0.333333,0.5,0.541176,0,y
0.5,0,0.4,0.375,1,0.882353,0.25,n
1,0,0.24,0.458333,1,0.788235,0,n
0,0,0.36,0.666667,1,0.788235,0.25,n
0.5,0,0.44,0.416667,1,0.682353,0,n
0.5,0,0.24,0.375,0.5,0.858824,0,n
0,0,0.24,0.25,0.5,0.364706,0,y
0,0,0.24,0.458333,0.5,0.517647,0,y
0,0,0.32,0.333333,0.5,0,0,y
0.5,0,0.24,0.583333,0.5,0.752941,0,n
0.5,0,0.44,0.291667,1,0.717647,0,n
0.5,0,0.44,0.5,1,0.811765,0,n
0.5,0,0.4,0.25,0.5,0.682353,0,n
0.5,0,0.4,0.666667,1,0.929412,0.25,n
0,0,0.24,0.541667,0.5,0.717647,0,n
0,0,0.28,0.5,1,0.776471,0,n
0.5,0,0.2,0.291667,0.5,0.294118,0.5,n
