hashtags,mentions,uppercase,nonalpha,urls,len,numbers,spam
1,2,12,17,1,117,0,n
0,0,7,15,2,94,0,n
1,0,13,12,2,122,0,n
0,0,11,17,1,98,1,y
0,0,17,16,2,135,0,n
1,2,7,13,0,112,0,n
1,0,12,16,2,117,0,n
0,0,5,14,2,120,0,n
1,0,8,11,1,79,0,n
0,6,12,14,1,141,0,n
1,0,17,10,1,134,1,n
2,0,15,14,2,113,0,n
0,0,5,9,1,78,0,y
1,0,12,17,1,100,2,y
0,0,15,12,2,114,1,y
0,0,13,7,1,107,0,n
0,0,5,11,1,87,4,y
0,0,14,10,1,136,0,n
0,0,12,16,2,105,0,n
1,2,8,14,0,133,0,n
0,0,6,7,1,69,0,n
1,0,15,15,2,127,4,n
0,0,9,12,1,119,2,n
1,0,15,18,2,100,0,n
1,0,14,20,2,133,0,n
1,0,12,4,0,104,0,n
1,0,9,19,2,131,1,n
1,0,9,18,1,123,0,n
2,0,12,18,2,125,0,n
0,0,5,16,1,136,2,y
2,0,6,12,2,132,0,n
0,0,11,16,2,124,0,n
0,2,11,17,1,142,0,n
0,0,5,16,1,134,1,y
0,0,6,17,1,112,0,n
0,0,4,5,1,83,2,n
0,0,7,8,1,85,1,n
0,0,8,15,1,105,1,y
0,0,8,7,1,90,1,y
1,0,16,15,2,123,1,n
1,0,18,20,2,127,0,n
0,0,8,6,1,78,2,n
0,0,11,12,2,119,0,n
0,0,5,5,1,81,0,n
0,0,7,14,1,124,0,n
0,0,8,14,2,115,0,n
1,0,8,6,1,99,0,n
0,0,6,12,1,77,0,y
1,1,17,17,2,106,1,n
0,0,13,16,2,118,0,n
2,2,18,23,2,144,0,n
0,0,14,13,2,115,1,y
1,0,12,20,2,143,0,n
2,0,10,14,1,97,0,n
1,0,11,12,2,129,0,n
0,0,14,13,1,132,0,n
0,0,9,12,1,118,1,n
0,0,7,12,1,81,0,y
0,0,4,5,1,81,0,n
0,0,13,12,2,90,0,n
2,0,18,19,2,136,1,y
1,0,11,13,2,121,2,n
1,0,9,13,2,135,0,n
0,0,14,23,1,140,0,y
0,0,12,15,2,96,1,n
