tweet_id,hashtags,mentions,uppercase,nonalpha,urls,len,numbers,spam
11255,0,0,13,14,2,122,0,n
12959,0,0,14,15,2,97,2,n
11934,0,0,6,14,1,121,0,n
13871,0,0,8,5,1,86,0,n
10996,0,0,20,14,2,123,0,n
12912,2,0,14,13,2,124,1,n
12453,0,0,11,16,2,126,0,n
11176,0,0,12,16,2,119,0,n
11065,0,0,7,8,1,78,0,n
11339,0,1,12,16,1,83,0,n
11405,0,0,12,12,2,92,0,n
11412,0,1,12,12,1,127,1,n
11767,0,0,12,18,2,119,0,n
12021,2,0,9,14,2,113,0,n
13084,0,0,7,9,1,125,1,n
11244,0,0,6,11,1,95,0,n
13193,0,0,6,7,1,90,1,n
13145,0,0,5,9,1,121,1,n
11218,1,1,11,7,0,91,0,y
12204,1,0,12,11,2,118,1,n
11240,1,1,17,15,2,132,0,n
12449,0,0,14,13,2,124,0,n
12906,0,0,9,16,2,119,0,n
12505,1,0,8,15,2,121,0,n
13433,0,0,12,7,1,98,0,n
11568,0,0,13,16,2,124,0,n
12680,1,0,15,18,2,100,0,n
11792,0,0,10,10,2,111,0,y
11880,0,0,11,8,1,87,0,n
11393,0,1,7,11,1,101,0,n
13316,0,0,8,11,1,92,1,n
11219,0,0,9,10,2,133,0,n
13173,0,0,5,16,1,134,1,y
13598,0,0,6,9,1,107,0,n
12517,0,0,10,16,2,128,0,y
12200,1,0,12,11,2,117,0,y
13916,0,0,5,12,1,100,0,n
12541,1,0,16,13,2,135,1,n
11648,0,0,8,5,1,99,0,n
11575,1,0,22,15,1,122,0,n
12393,1,0,14,15,2,109,0,y
12602,1,0,14,13,2,137,0,n
13461,0,0,9,6,1,71,2,y
11569,0,1,23,16,2,126,0,y
12826,1,0,10,13,2,134,1,n
12151,1,1,18,24,2,121,0,n
12478,2,0,11,16,2,118,0,n
11706,1,1,14,6,0,121,0,n
11742,0,0,10,12,1,106,0,y
12028,1,0,12,13,2,135,1,n
11948,2,0,8,15,2,127,0,n
12333,0,0,11,20,2,127,1,n
12534,1,0,13,14,2,118,0,n
11221,1,0,8,13,1,133,0,n
13184,0,0,8,10,1,91,0,y
13192,0,0,8,15,1,104,0,y
11503,0,0,10,12,1,60,0,y
12016,1,0,8,18,1,124,0,n
12582,1,0,13,11,2,121,0,n
12013,1,0,13,16,2,129,0,n
12994,1,0,12,10,1,118,0,n
12742,1,0,12,20,2,139,1,n
13074,0,0,8,17,1,121,0,n
12279,0,0,9,16,2,126,0,n
12977,1,0,7,11,1,85,2,n
