tweet_id,hashtags,mentions,uppercase,nonalpha,urls,len,numbers,spam
13680,0,0,7,8,1,84,0,n
11341,0,0,4,8,1,104,0,n
11360,0,0,10,12,2,139,0,n
12837,0,0,8,12,2,131,1,n
10979,0,0,4,11,1,88,1,n
10955,0,0,5,15,2,111,0,n
11690,0,0,5,5,1,92,0,y
12185,2,0,10,15,1,120,0,n
11317,0,0,7,7,1,115,0,n
11803,0,0,5,19,1,126,0,n
11678,0,0,16,16,2,139,0,n
12532,2,0,10,14,2,113,0,n
12055,2,0,12,12,1,115,0,n
13711,0,0,12,13,2,108,0,n
13368,0,0,10,21,1,116,1,n
11710,0,0,4,13,1,73,0,n
12114,0,0,16,10,2,111,1,n
11257,0,0,11,13,2,112,0,n
12765,1,0,13,16,2,103,2,y
11472,0,0,9,7,1,70,0,n
13684,0,0,7,21,1,89,0,n
13705,0,0,14,26,2,139,0,n
11865,0,0,6,14,1,93,0,n
12746,0,0,13,14,2,123,2,n
12143,1,0,12,16,2,100,0,y
11679,0,0,7,12,1,130,0,n
11607,0,0,9,11,2,120,0,n
11677,0,0,20,18,1,145,0,n
11107,0,0,9,12,2,102,0,n
12936,2,0,14,23,1,121,0,n
13504,0,0,12,17,2,113,0,n
11306,0,0,8,13,1,125,0,n
11780,0,0,7,7,1,82,0,y
13817,0,0,6,12,1,89,0,n
12629,2,0,9,12,1,115,0,n
12012,1,0,10,15,2,106,0,n
