tweet_id,hashtags,mentions,uppercase,nonalpha,urls,len,numbers,spam
2,0,0,5,5,1,97,0,n
6,0,0,5,9,1,84,0,n
11,0,0,10,5,1,90,0,y
12,0,0,5,14,1,117,0,n
16,0,0,9,6,1,58,2,y
17,0,0,5,9,1,84,0,n
35,0,0,13,9,1,126,0,n
37,0,0,12,10,2,121,0,n
40,0,0,9,12,1,122,0,n
49,0,0,9,10,2,102,0,n
55,0,0,7,10,2,98,0,y
79,0,0,10,14,2,108,0,n
84,0,0,13,10,2,114,0,y
85,0,0,4,7,1,85,0,n
86,0,0,6,19,2,141,0,n
92,0,0,13,12,2,112,0,n
101,0,0,13,19,1,132,0,n
103,0,0,9,5,1,90,0,n
116,0,0,20,13,2,137,1,n
129,0,0,20,12,2,134,0,n
145,0,0,11,14,2,108,0,n
162,0,0,7,13,1,92,0,n
182,0,0,5,5,1,97,0,n
185,0,0,10,5,1,90,0,y
190,0,0,9,6,1,55,0,n
193,0,0,5,14,1,117,0,n
199,0,0,11,5,1,106,0,n
201,0,0,7,7,1,88,0,n
202,0,0,16,8,1,113,1,n
217,0,0,4,5,1,74,0,y
226,0,0,8,5,1,78,0,n
234,0,0,11,6,1,123,0,y
237,0,0,8,9,1,119,0,n
239,0,0,7,5,1,97,0,n
246,0,0,9,5,1,90,0,y
257,0,0,13,16,1,129,0,n
269,0,0,7,7,1,88,0,n
277,0,0,4,7,1,85,0,n
283,0,0,8,10,2,98,0,n
284,0,0,7,5,1,97,0,n
305,0,0,8,5,1,78,0,n
308,0,0,5,9,1,84,0,n
319,0,0,10,10,2,121,0,n
323,0,0,15,10,2,105,0,n
327,0,0,16,18,2,116,0,n
340,0,0,8,12,2,109,0,n
344,0,0,8,10,1,121,0,y
370,0,0,7,6,1,70,0,n
382,0,0,14,10,2,130,0,n
435,0,0,8,5,1,82,1,n
441,0,0,12,6,1,99,0,n
