tweet_id,hashtags,mentions,uppercase,nonalpha,urls,len,numbers,spam
66,0,0,12,12,2,119,1,n
90,0,0,14,11,2,122,2,n
113,0,0,6,8,1,63,1,n
121,0,0,11,15,2,128,2,n
131,0,0,23,11,2,117,1,y
141,0,0,10,10,2,96,2,n
149,0,0,15,10,2,93,2,n
175,0,0,23,11,2,117,1,y
186,0,0,8,10,1,104,2,n
209,0,0,6,7,1,95,1,n
249,0,0,5,5,1,96,2,n
270,0,0,5,6,1,98,2,n
331,0,0,6,8,1,63,1,n
347,0,0,10,10,2,96,2,n
389,0,0,9,6,1,71,2,n
394,0,0,7,5,1,96,2,n
399,0,0,27,16,1,134,1,y
412,0,0,10,10,1,102,0,y
422,0,0,19,6,1,93,1,y
431,0,0,27,16,1,135,2,y
454,0,0,10,21,1,130,1,y
464,0,0,10,21,1,130,1,y
468,0,0,28,16,1,135,2,y
469,0,0,5,7,1,92,1,n
