tweet_id,hashtags,mentions,uppercase,nonalpha,urls,len,numbers,spam
9,0,0,7,11,1,89,0,n
31,0,0,9,13,2,109,0,n
47,0,0,9,16,2,113,0,n
54,0,0,7,6,1,58,0,y
56,0,0,6,7,1,74,1,n
115,0,0,10,17,2,124,0,n
122,0,0,10,12,2,114,1,n
142,0,0,5,7,1,78,0,y
166,0,0,6,7,1,54,0,n
170,0,0,5,7,1,78,0,y
180,0,0,8,7,1,90,1,n
200,0,0,4,9,1,77,0,n
206,0,0,5,12,1,100,0,n
227,0,0,6,11,1,89,0,n
233,0,0,7,8,1,85,0,y
244,0,0,13,7,1,107,0,n
289,0,0,12,13,2,109,0,n
312,0,0,5,12,1,100,0,n
343,0,0,10,16,2,113,0,n
366,0,0,10,11,1,103,0,n
371,0,0,6,12,1,91,0,n
380,0,0,6,8,1,92,1,n
381,0,0,8,14,2,101,0,n
390,0,0,4,9,1,101,0,n
400,0,0,8,11,1,116,0,n
416,0,0,13,7,1,112,0,n
419,0,0,8,11,1,94,0,n
437,0,0,4,9,1,78,1,n
439,0,0,6,7,1,91,1,n
455,0,0,6,7,1,76,2,n
474,0,0,13,7,1,113,1,n
