tweet_id,hashtags,mentions,uppercase,nonalpha,urls,len,numbers,spam
13445,0,0,6,13,1,113,0,n
12561,0,0,11,18,2,120,0,y
12342,1,0,7,8,1,96,0,y
13055,0,0,6,13,1,115,2,n
13002,1,0,20,15,1,130,0,n
13291,0,0,11,16,1,87,1,y
12458,0,0,12,17,2,133,0,y
11935,0,0,4,7,1,72,0,n
13379,0,0,17,14,1,119,1,n
12741,1,0,10,13,2,122,0,n
12777,0,0,16,18,2,116,2,y
13668,0,0,9,13,2,135,0,n
13426,0,0,8,20,1,139,0,y
12413,0,0,14,18,2,113,0,y
12743,1,0,12,13,2,113,2,n
11912,0,0,9,13,1,102,0,n
12535,1,0,13,11,2,106,0,n
13296,0,0,4,10,1,83,1,y
13272,0,0,8,20,1,140,1,y
13322,0,0,4,13,1,76,1,n
12023,1,0,13,17,2,119,1,y
13462,0,0,7,6,1,72,0,n
12408,0,0,11,10,2,106,0,y
12974,1,0,20,15,1,132,2,n
13266,0,0,5,13,1,81,1,y
12647,0,0,15,10,2,114,0,n
13311,0,0,8,17,1,113,1,y
13887,0,0,11,9,1,129,2,n
13405,0,0,7,10,1,96,0,n
13728,0,0,10,16,2,108,0,n
12060,0,0,12,10,2,106,0,y
12232,0,0,14,18,2,113,0,y
11979,1,0,10,16,2,112,0,y
13523,0,0,10,14,2,130,0,y
13365,0,0,8,17,1,113,1,n
13918,0,1,19,20,2,134,3,y
12291,1,0,17,17,2,131,0,n
11982,1,0,16,17,2,124,1,n
13195,0,0,11,17,1,97,0,y
12358,0,0,10,12,2,101,2,y
11425,0,0,8,7,1,90,0,n
13359,0,0,10,7,1,97,0,n
13600,0,0,9,11,1,101,0,y
11293,0,0,9,12,2,115,0,n
12262,0,0,5,12,2,99,0,n
13305,0,0,8,10,1,92,1,y
13234,0,0,11,17,1,98,1,y
11727,0,0,14,12,1,78,0,y
13882,0,0,8,20,1,115,1,y
13388,0,0,9,26,1,130,1,y
12560,1,0,15,15,2,104,0,n
13464,0,0,9,27,1,131,0,y
12377,1,0,14,11,2,106,0,n
12767,0,0,13,10,2,109,2,y
13575,0,0,17,21,2,130,0,y
11083,0,0,8,5,1,89,0,n
13696,0,0,11,7,1,89,0,n
12025,1,0,12,11,2,106,0,n
12945,1,0,13,13,2,135,0,n
13499,0,0,11,17,1,107,0,n
11424,0,0,4,7,1,96,0,n
11127,0,0,13,10,2,115,0,y
13655,0,0,7,26,1,129,0,n
13157,0,0,7,26,1,130,1,y
13348,0,0,11,16,1,107,1,y
13630,0,0,12,21,2,116,3,n
11743,0,0,8,14,1,90,0,n
12195,1,0,14,11,2,106,0,n
13913,0,0,9,11,1,112,0,n
13510,0,0,12,17,2,142,0,n
12492,0,0,12,13,2,130,0,y
11959,0,0,13,17,2,133,0,y
12768,1,0,8,13,2,112,2,n
11729,0,0,6,10,1,78,0,n
13363,0,0,6,11,1,113,1,n
