tweet_id,hashtags,mentions,uppercase,nonalpha,urls,len,numbers,favorite_count,retweet_count,topic_id,spam
11474,1,2,12,17,1,117,0,79,92,8,n
12426,0,0,7,15,2,94,0,1,1,2,n
12286,1,0,13,12,2,122,0,1,5,4,n
13337,0,0,11,17,1,98,1,2,0,7,y
12934,0,0,17,16,2,135,0,6,37,2,n
10986,1,2,7,13,0,112,0,37,61,4,n
12219,1,0,12,16,2,117,0,0,2,0,n
12424,0,0,5,14,2,120,0,13,13,6,n
11801,1,0,8,11,1,79,0,150,53,5,n
11525,0,6,12,14,1,141,0,76,96,1,n
13042,1,0,17,10,1,134,1,21,33,4,n
12603,2,0,15,14,2,113,0,0,3,0,n
13897,0,0,5,9,1,78,0,2,1,2,y
12988,1,0,12,17,1,100,2,2,0,1,y
11922,0,0,15,12,2,114,1,85,45,8,y
13878,0,0,13,7,1,107,0,2,2,4,n
13068,0,0,5,11,1,87,4,4,2,4,y
11177,0,0,14,10,1,136,0,63,39,7,n
11733,0,0,12,16,2,105,0,49,42,7,n
11088,1,2,8,14,0,133,0,341,680,4,n
13766,0,0,6,7,1,69,0,1,8,2,n
12758,1,0,15,15,2,127,4,0,3,4,n
13252,0,0,9,12,1,119,2,0,0,8,n
12523,1,0,15,18,2,100,0,1,0,7,n
11232,1,0,14,20,2,133,0,68,113,1,n
11277,1,0,12,4,0,104,0,96,46,3,n
12879,1,0,9,19,2,131,1,1,1,7,n
12210,1,0,9,18,1,123,0,0,2,8,n
12555,2,0,12,18,2,125,0,0,3,5,n
13237,0,0,5,16,1,136,2,0,1,8,y
12507,2,0,6,12,2,132,0,5,9,5,n
11396,0,0,11,16,2,124,0,179,123,1,n
11354,0,2,11,17,1,142,0,37,53,7,n
13126,0,0,5,16,1,134,1,6,3,4,y
13856,0,0,6,17,1,112,0,4,5,0,n
13069,0,0,4,5,1,83,2,6,6,4,n
13358,0,0,7,8,1,85,1,2,2,4,n
13289,0,0,8,15,1,105,1,3,0,7,y
13941,0,0,8,7,1,90,1,0,2,7,y
12483,1,0,16,15,2,123,1,0,4,1,n
11248,1,0,18,20,2,127,0,96,319,6,n
13860,0,0,8,6,1,78,2,4,6,1,n
12118,0,0,11,12,2,119,0,2,3,5,n
11482,0,0,5,5,1,81,0,39,52,7,n
11758,0,0,7,14,1,124,0,65,42,5,n
11973,0,0,8,14,2,115,0,1,1,7,n
12992,1,0,8,6,1,99,0,1,3,7,n
11818,0,0,6,12,1,77,0,76,28,7,y
11541,1,1,17,17,2,106,1,42,36,7,n
12482,0,0,13,16,2,118,0,0,2,1,n
11566,2,2,18,23,2,144,0,0,593,7,n
12876,0,0,14,13,2,115,1,2,0,4,y
12430,1,0,12,20,2,143,0,6,6,5,n
11853,2,0,10,14,1,97,0,91,36,1,n
12488,1,0,11,12,2,129,0,2,12,2,n
11712,0,0,14,13,1,132,0,128,178,1,n
13151,0,0,9,12,1,118,1,5,7,1,n
13673,0,0,7,12,1,81,0,2,1,7,y
13603,0,0,4,5,1,81,0,2,1,0,n
11321,0,0,13,12,2,90,0,55,45,1,n
11553,2,0,18,19,2,136,1,323,597,2,y
